Date,Open,High,Low,Close,Adj Close,Volume
7/1/2002,64.519997,65,63.599998,63.996002,46.307896,813320
7/2/2002,64,65.199997,63.75,64.010002,46.318027,676020
7/3/2002,62.790001,62.799999,61.5,61.706001,46.465614,139710
7/4/2002,62,63.5,62,62.66,47.183987,129020
7/5/2002,63.400002,65,63,64.466003,48.543934,627880
7/8/2002,62.605999,64.830002,62.605999,64.43,48.51683,182080
7/9/2002,64,64,62.5,62.796001,47.286404,50120
7/10/2002,63.490002,63.696003,62.200001,62.446003,47.022846,29190
7/11/2002,62.996002,63,61.900002,62.105999,46.766819,570810
7/12/2002,62.849998,62.900002,61.82,61.939999,46.641819,140070
7/15/2002,62,63,61.130001,61.779999,46.521339,364480
7/16/2002,62.5,62.959999,61.98,62.509998,47.071033,82500
7/17/2002,62.015999,62.400002,61,61.375999,46.217113,144870
7/18/2002,62.900002,62.900002,61.099998,61.526001,46.33007,263900
7/19/2002,61.450001,62.486,61.400002,61.986,46.676464,319660
7/22/2002,62.099998,62.099998,61,61.515999,46.32254,302830
7/23/2002,62.396004,62.396004,61,61.146004,46.043922,145920
7/24/2002,61,61.390003,60.599998,60.746002,45.742722,129510
7/25/2002,60.5,62.349998,60.5,61.655998,46.427959,531470
7/26/2002,62.190002,62.190002,60,60.150002,45.293934,479250
7/29/2002,60.5,61.990002,60.5,61.060001,45.979153,504900
7/30/2002,61.5,61.849998,61.015999,61.585999,46.375248,239720
7/31/2002,56,63.700001,56,63.23,47.613205,741630
8/1/2002,63.990002,64.650002,62.200001,64.040001,48.223152,1221080
8/2/2002,58.110001,63.990002,58.110001,62.986,47.429466,424940
8/5/2002,62.209999,62.650002,61.506001,61.73,46.483688,77380
8/6/2002,61.900002,62.400002,61.5,61.82,46.551464,112200
8/7/2002,62.299999,62.299999,61.25,61.82,46.551464,261500
8/8/2002,61.116001,61.5,61.110001,61.380001,46.220135,67020
8/9/2002,61.200001,63.486,60.830002,63.035999,47.467129,681750
8/12/2002,63,63.035999,61.799999,62.549999,47.101166,235930
8/13/2002,63,63.299999,61.226002,61.896004,46.6087,129230
8/14/2002,61.200001,62.5,60.5,61.02,45.949047,149790
8/15/2002,12.204,12.204,12.204,12.204,9.189811,0
8/16/2002,61.720001,62.166,61.029999,61.655998,46.427959,237010
8/19/2002,61.310001,62,60.925999,61.335999,46.187,155780
8/20/2002,61.875999,61.875999,60.099998,60.416,45.494221,286440
8/21/2002,60.5,61.299999,59.709999,60,45.180973,401140
8/22/2002,60.299999,60.299999,59.32,59.690002,44.947544,394170
8/23/2002,59.5,59.855999,58.52,58.785999,44.266819,401980
8/26/2002,58.900002,58.900002,55.5,56.306,42.399319,1324210
8/27/2002,56.099998,58.5,56.099998,57.056,42.964085,1131810
8/28/2002,56.5,57.799999,56.206001,57.496002,43.295422,625110
8/29/2002,57.740002,57.740002,57.006001,57.476002,43.280357,837850
8/30/2002,57.486,59,56.799999,58.279999,43.885784,1820800
9/2/2002,58.700001,60.09,58.700001,59.605999,44.884281,344940
9/3/2002,59.900002,60,59.226002,59.666,44.929459,213610
9/4/2002,59.299999,59.779999,58.806,59.546001,44.839104,133520
9/5/2002,59.799999,59.799999,54.186001,57.779999,43.50927,179990
9/6/2002,57.75,59.006001,57.720001,58.870003,44.33007,737230
9/9/2002,57.700001,59.646004,57.700001,59.375999,44.711098,679620
9/10/2002,11.8752,11.8752,11.8752,11.8752,8.942218,0
9/11/2002,59.990002,59.990002,58.150002,58.486,44.040905,484610
9/12/2002,58.400002,58.939999,57.5,57.875999,43.581566,367700
9/13/2002,58,58.890003,58,58.546001,44.086082,116370
9/16/2002,58.200001,59.5,58.200001,59.466,44.77887,640950
9/17/2002,59.099998,59.596001,58.799999,59.349998,44.691505,374990
9/18/2002,58.706001,59.73,58.700001,59.48,44.789406,375700
9/19/2002,59.060001,59.599998,58.905998,59.380001,44.714096,615380
9/20/2002,58.900002,59.726002,58.900002,59.43,44.751762,350560
9/23/2002,59.299999,59.400002,56.5,59.009998,44.43549,776030
9/24/2002,59.296001,59.5,58.549999,59.366001,44.703564,1027690
9/25/2002,58,59.099998,57.799999,58.866001,44.327049,661720
9/26/2002,59,59.75,57.799999,59.355999,44.696022,598740
9/27/2002,59.400002,60.200001,59.110001,59.98,45.165913,477950
9/30/2002,59.799999,60.150002,59.226002,59.890003,45.098137,607500
10/1/2002,60,60.650002,59.726002,60.560001,45.602665,296570
10/2/2002,12.112,12.112,12.112,12.112,9.120531,0
10/3/2002,60,60.009998,58.900002,59.950001,45.143318,585280
10/4/2002,59.990002,61.5,59.990002,60.976002,45.915913,727810
10/7/2002,60.066002,61.299999,60.066002,61.166,46.058998,175940
10/8/2002,60.826,61.470001,60.209999,61.006001,45.938503,341440
10/9/2002,60.799999,61.509998,60.799999,61.246002,46.119221,513560
10/10/2002,60.82,61.190002,60.796001,60.84,45.813503,451880
10/11/2002,63.5,67.400002,61.006001,61.436001,46.26231,1086550
10/14/2002,62,62.91,61.25,61.720001,46.476162,214960
10/15/2002,12.344,12.344,12.344,12.344,9.29523,0
10/16/2002,62,63.900002,61.93,63.029999,47.462608,1405170
10/17/2002,63.200001,63.875999,61.110001,61.919998,46.626762,2247100
10/18/2002,62.790001,63,61.5,61.765999,46.510796,534690
10/21/2002,61.900002,62.096001,61.506001,61.726002,46.480671,279090
10/22/2002,62.5,63.700001,61.709999,63.41,47.748753,936150
10/23/2002,63,64.150002,62.726002,63.880001,48.10268,894080
10/24/2002,62.900002,64,60.900002,63.119999,47.530388,943100
10/25/2002,63.200001,63.900002,62.799999,63.41,47.748753,376050
10/28/2002,63.5,63.549999,62.799999,63.096001,47.51231,329130
10/29/2002,62.799999,63.450001,62.599998,62.919998,47.379776,629050
10/30/2002,62.799999,63.200001,62.5,62.946003,47.399353,823700
10/31/2002,63,63,62,62.756001,47.256279,699580
11/1/2002,62.706001,63,62.526001,62.756001,47.256279,761200
11/4/2002,63.200001,63.200001,62.599998,63.099998,47.515316,38350
11/5/2002,63,63.799999,62.900002,63.439999,47.771351,254520
11/6/2002,12.688,12.688,12.688,12.688,9.554267,0
11/7/2002,62.806,63.599998,62.806,63.419998,47.756287,203130
11/8/2002,63.400002,63.490002,62.900002,63.155998,47.557487,218230
11/11/2002,62.946003,64,62.946003,63.826,48.062016,782180
11/12/2002,64.199997,64.68,63.119999,64.220001,48.3587,680520
11/13/2002,64.900002,64.900002,63.900002,64.466003,48.543934,517910
11/14/2002,64.599998,65.599998,64.199997,65.080002,49.006294,1097080
11/15/2002,65.639999,66.650002,65.005997,66.106003,49.778893,671190
11/18/2002,65.900002,66.099998,65.32,65.919998,49.638824,486640
11/19/2002,13.184,13.184,13.184,13.184,9.927767,0
11/20/2002,66,67,65.886002,66.886002,50.366241,874470
11/21/2002,66.830002,69.096001,66.800003,68.986,51.947578,1131290
11/22/2002,69.5,69.5,67.486,68.265999,51.405407,463660
11/25/2002,68.386002,68.720001,67,67.790001,51.04697,939310
11/26/2002,67.599998,69,67.5,68.93,51.905411,967040
11/27/2002,68.599998,68.806,68,68.120003,51.295467,564230
11/28/2002,68.199997,68.996002,58.996002,68.856003,51.849693,434430
11/29/2002,68.990005,68.990005,68.110001,68.43,51.5289,278870
12/2/2002,68.599998,68.800003,66.699997,67.676003,50.961128,1200050
12/3/2002,68.699997,68.996002,66,66.490005,50.068058,1584770
12/4/2002,66.099998,69,64.300003,66.136002,49.801479,3768580
12/5/2002,68,68.5,67,68.110001,51.287933,703920
12/6/2002,68.5,68.900002,67.199997,68.725998,51.751789,308520
12/9/2002,68.800003,68.996002,67.800003,68.150002,51.31805,1728880
12/10/2002,68,68.990005,67.599998,68.080002,51.26535,2322360
12/11/2002,67.800003,69.246002,67.099998,69.036003,51.985226,2036590
12/12/2002,72,72,67.610001,68.720001,51.747272,214025
12/13/2002,69,77.400002,68.800003,72.93,54.917473,1814355
12/16/2002,75,76.400002,73.400002,75.389999,56.769886,1352920
12/17/2002,75.160004,75.199997,71.270004,72.080002,54.277397,1458795
12/18/2002,72,73.18,71.620003,72.25,54.405411,495235
12/19/2002,72,72.540001,71,71.510002,53.848186,437555
12/20/2002,72,72.5,70.099998,72.040001,54.247288,568745
12/23/2002,71.779999,72.019997,70.830002,71.440002,53.795471,178075
12/24/2002,71.400002,71.790001,70.230003,70.68,53.223171,129410
12/25/2002,70.68,70.68,70.68,70.68,53.223171,0
12/26/2002,71.199997,71.379997,69.599998,70.25,52.89938,127605
12/27/2002,69.620003,72.599998,68.209999,72.019997,54.232224,310900
12/30/2002,71.400002,72.580002,71,72.099998,54.292465,185150
12/31/2002,72,72.519997,71.099998,71.670006,53.968678,147285
